startTime,settlementDate,fuelType,actual_generation,cutoff_time,publishTime,forecast_generation,effective_horizon_hours,error_mw,abs_error_mw
2024-01-07 02:30:00+00:00,2024-01-07,WIND,5770,2024-01-06 14:30:00+00:00,,,,,
2024-01-07 03:00:00+00:00,2024-01-07,WIND,5881,2024-01-06 15:00:00+00:00,2024-01-06 11:30:00+00:00,6152.0,15.5,271.0,271.0
2024-01-07 03:30:00+00:00,2024-01-07,WIND,6176,2024-01-06 15:30:00+00:00,,,,,
2024-01-07 04:00:00+00:00,2024-01-07,WIND,6342,2024-01-06 16:00:00+00:00,2024-01-06 15:30:00+00:00,6311.0,12.5,-31.0,31.0
2024-01-07 04:30:00+00:00,2024-01-07,WIND,6066,2024-01-06 16:30:00+00:00,,,,,
2024-01-07 05:00:00+00:00,2024-01-07,WIND,6290,2024-01-06 17:00:00+00:00,2024-01-06 15:30:00+00:00,6269.0,13.5,-21.0,21.0
2024-01-07 05:30:00+00:00,2024-01-07,WIND,6434,2024-01-06 17:30:00+00:00,,,,,
2024-01-07 06:00:00+00:00,2024-01-07,WIND,6402,2024-01-06 18:00:00+00:00,2024-01-06 15:30:00+00:00,6160.0,14.5,-242.0,242.0
2024-01-07 06:30:00+00:00,2024-01-07,WIND,6440,2024-01-06 18:30:00+00:00,,,,,
2024-01-07 07:00:00+00:00,2024-01-07,WIND,6138,2024-01-06 19:00:00+00:00,2024-01-06 18:30:00+00:00,6023.0,12.5,-115.0,115.0
2024-01-07 07:30:00+00:00,2024-01-07,WIND,6109,2024-01-06 19:30:00+00:00,,,,,
2024-01-07 08:00:00+00:00,2024-01-07,WIND,6044,2024-01-06 20:00:00+00:00,2024-01-06 18:30:00+00:00,5768.0,13.5,-276.0,276.0
2024-01-07 08:30:00+00:00,2024-01-07,WIND,5612,2024-01-06 20:30:00+00:00,,,,,
2024-01-07 09:00:00+00:00,2024-01-07,WIND,5549,2024-01-06 21:00:00+00:00,2024-01-06 18:30:00+00:00,5574.0,14.5,25.0,25.0
2024-01-07 09:30:00+00:00,2024-01-07,WIND,5385,2024-01-06 21:30:00+00:00,,,,,
2024-01-07 10:00:00+00:00,2024-01-07,WIND,5311,2024-01-06 22:00:00+00:00,2024-01-06 18:30:00+00:00,5276.0,15.5,-35.0,35.0
2024-01-07 10:30:00+00:00,2024-01-07,WIND,5015,2024-01-06 22:30:00+00:00,,,,,
2024-01-07 11:00:00+00:00,2024-01-07,WIND,4848,2024-01-06 23:00:00+00:00,2024-01-06 22:30:00+00:00,4899.0,12.5,51.0,51.0
2024-01-07 11:30:00+00:00,2024-01-07,WIND,4648,2024-01-06 23:30:00+00:00,,,,,
2024-01-07 12:00:00+00:00,2024-01-07,WIND,4435,2024-01-07 00:00:00+00:00,2024-01-06 22:30:00+00:00,4657.0,13.5,222.0,222.0
2024-01-07 12:30:00+00:00,2024-01-07,WIND,4391,2024-01-07 00:30:00+00:00,,,,,
2024-01-07 13:00:00+00:00,2024-01-07,WIND,4437,2024-01-07 01:00:00+00:00,2024-01-06 22:30:00+00:00,4556.0,14.5,119.0,119.0
2024-01-07 13:30:00+00:00,2024-01-07,WIND,4327,2024-01-07 01:30:00+00:00,,,,,
2024-01-07 14:00:00+00:00,2024-01-07,WIND,4332,2024-01-07 02:00:00+00:00,2024-01-06 22:30:00+00:00,4474.0,15.5,142.0,142.0
2024-01-07 14:30:00+00:00,2024-01-07,WIND,4352,2024-01-07 02:30:00+00:00,,,,,
2024-01-07 15:00:00+00:00,2024-01-07,WIND,4325,2024-01-07 03:00:00+00:00,2024-01-06 22:30:00+00:00,4459.0,16.5,134.0,134.0
2024-01-07 15:30:00+00:00,2024-01-07,WIND,4315,2024-01-07 03:30:00+00:00,,,,,
2024-01-07 16:00:00+00:00,2024-01-07,WIND,4299,2024-01-07 04:00:00+00:00,2024-01-06 22:30:00+00:00,4471.0,17.5,172.0,172.0
2024-01-07 16:30:00+00:00,2024-01-07,WIND,4305,2024-01-07 04:30:00+00:00,,,,,
2024-01-07 17:00:00+00:00,2024-01-07,WIND,4316,2024-01-07 05:00:00+00:00,2024-01-06 22:30:00+00:00,4456.0,18.5,140.0,140.0
2024-01-07 17:30:00+00:00,2024-01-07,WIND,4325,2024-01-07 05:30:00+00:00,,,,,
2024-01-07 18:00:00+00:00,2024-01-07,WIND,4324,2024-01-07 06:00:00+00:00,2024-01-06 22:30:00+00:00,4535.0,19.5,211.0,211.0
2024-01-07 18:30:00+00:00,2024-01-07,WIND,4281,2024-01-07 06:30:00+00:00,,,,,
2024-01-07 19:00:00+00:00,2024-01-07,WIND,4202,2024-01-07 07:00:00+00:00,2024-01-06 22:30:00+00:00,4545.0,20.5,343.0,343.0
2024-01-07 19:30:00+00:00,2024-01-07,WIND,4169,2024-01-07 07:30:00+00:00,,,,,
2024-01-07 20:00:00+00:00,2024-01-07,WIND,4032,2024-01-07 08:00:00+00:00,2024-01-06 22:30:00+00:00,4591.0,21.5,559.0,559.0
2024-01-07 20:30:00+00:00,2024-01-07,WIND,4017,2024-01-07 08:30:00+00:00,,,,,
2024-01-07 21:00:00+00:00,2024-01-07,WIND,3992,2024-01-07 09:00:00+00:00,2024-01-07 07:30:00+00:00,4611.0,13.5,619.0,619.0
2024-01-07 21:30:00+00:00,2024-01-07,WIND,4030,2024-01-07 09:30:00+00:00,,,,,
2024-01-07 22:00:00+00:00,2024-01-07,WIND,3994,2024-01-07 10:00:00+00:00,2024-01-07 09:30:00+00:00,4588.0,12.5,594.0,594.0
2024-01-07 22:30:00+00:00,2024-01-07,WIND,4100,2024-01-07 10:30:00+00:00,,,,,
2024-01-07 23:00:00+00:00,2024-01-07,WIND,4242,2024-01-07 11:00:00+00:00,2024-01-07 09:30:00+00:00,4791.0,13.5,549.0,549.0
2024-01-07 23:30:00+00:00,2024-01-07,WIND,4275,2024-01-07 11:30:00+00:00,,,,,
2024-01-08 00:00:00+00:00,2024-01-08,WIND,4629,2024-01-07 12:00:00+00:00,2024-01-07 11:30:00+00:00,4999.0,12.5,370.0,370.0
2024-01-08 00:30:00+00:00,2024-01-08,WIND,4730,2024-01-07 12:30:00+00:00,,,,,
2024-01-08 01:00:00+00:00,2024-01-08,WIND,5033,2024-01-07 13:00:00+00:00,2024-01-07 11:30:00+00:00,5304.0,13.5,271.0,271.0
2024-01-08 01:30:00+00:00,2024-01-08,WIND,5215,2024-01-07 13:30:00+00:00,,,,,
2024-01-08 02:00:00+00:00,2024-01-08,WIND,5342,2024-01-07 14:00:00+00:00,2024-01-07 11:30:00+00:00,5653.0,14.5,311.0,311.0
2024-01-08 02:30:00+00:00,2024-01-08,WIND,6043,2024-01-07 14:30:00+00:00,,,,,
2024-01-08 03:00:00+00:00,2024-01-08,WIND,6274,2024-01-07 15:00:00+00:00,2024-01-07 11:30:00+00:00,5841.0,15.5,-433.0,433.0
2024-01-08 03:30:00+00:00,2024-01-08,WIND,6533,2024-01-07 15:30:00+00:00,,,,,
2024-01-08 04:00:00+00:00,2024-01-08,WIND,6980,2024-01-07 16:00:00+00:00,2024-01-07 15:30:00+00:00,6258.0,12.5,-722.0,722.0
2024-01-08 04:30:00+00:00,2024-01-08,WIND,6945,2024-01-07 16:30:00+00:00,,,,,
2024-01-08 05:00:00+00:00,2024-01-08,WIND,7381,2024-01-07 17:00:00+00:00,2024-01-07 15:30:00+00:00,6762.0,13.5,-619.0,619.0
2024-01-08 05:30:00+00:00,2024-01-08,WIND,7292,2024-01-07 17:30:00+00:00,,,,,
2024-01-08 06:00:00+00:00,2024-01-08,WIND,7472,2024-01-07 18:00:00+00:00,2024-01-07 15:30:00+00:00,7104.0,14.5,-368.0,368.0
2024-01-08 06:30:00+00:00,2024-01-08,WIND,7502,2024-01-07 18:30:00+00:00,,,,,
2024-01-08 07:00:00+00:00,2024-01-08,WIND,7640,2024-01-07 19:00:00+00:00,2024-01-07 18:30:00+00:00,7283.0,12.5,-357.0,357.0
2024-01-08 07:30:00+00:00,2024-01-08,WIND,8031,2024-01-07 19:30:00+00:00,,,,,
2024-01-08 08:00:00+00:00,2024-01-08,WIND,8230,2024-01-07 20:00:00+00:00,2024-01-07 18:30:00+00:00,7960.0,13.5,-270.0,270.0
2024-01-08 08:30:00+00:00,2024-01-08,WIND,8551,2024-01-07 20:30:00+00:00,,,,,
2024-01-08 09:00:00+00:00,2024-01-08,WIND,8833,2024-01-07 21:00:00+00:00,2024-01-07 18:30:00+00:00,8403.0,14.5,-430.0,430.0
2024-01-08 09:30:00+00:00,2024-01-08,WIND,9199,2024-01-07 21:30:00+00:00,,,,,
2024-01-08 10:00:00+00:00,2024-01-08,WIND,9334,2024-01-07 22:00:00+00:00,2024-01-07 18:30:00+00:00,8783.0,15.5,-551.0,551.0
2024-01-08 10:30:00+00:00,2024-01-08,WIND,9545,2024-01-07 22:30:00+00:00,,,,,
2024-01-08 11:00:00+00:00,2024-01-08,WIND,9777,2024-01-07 23:00:00+00:00,2024-01-07 22:30:00+00:00,8648.0,12.5,-1129.0,1129.0
2024-01-08 11:30:00+00:00,2024-01-08,WIND,9986,2024-01-07 23:30:00+00:00,,,,,
2024-01-08 12:00:00+00:00,2024-01-08,WIND,10111,2024-01-08 00:00:00+00:00,2024-01-07 22:30:00+00:00,8523.0,13.5,-1588.0,1588.0
2024-01-08 12:30:00+00:00,2024-01-08,WIND,10163,2024-01-08 00:30:00+00:00,,,,,
2024-01-08 13:00:00+00:00,2024-01-08,WIND,10469,2024-01-08 01:00:00+00:00,2024-01-07 22:30:00+00:00,8343.0,14.5,-2126.0,2126.0
2024-01-08 13:30:00+00:00,2024-01-08,WIND,10499,2024-01-08 01:30:00+00:00,,,,,
2024-01-08 14:00:00+00:00,2024-01-08,WIND,10377,2024-01-08 02:00:00+00:00,2024-01-07 22:30:00+00:00,8453.0,15.5,-1924.0,1924.0
2024-01-08 14:30:00+00:00,2024-01-08,WIND,10226,2024-01-08 02:30:00+00:00,,,,,
2024-01-08 15:00:00+00:00,2024-01-08,WIND,10317,2024-01-08 03:00:00+00:00,2024-01-07 22:30:00+00:00,8635.0,16.5,-1682.0,1682.0
2024-01-08 15:30:00+00:00,2024-01-08,WIND,10616,2024-01-08 03:30:00+00:00,,,,,
2024-01-08 16:00:00+00:00,2024-01-08,WIND,10769,2024-01-08 04:00:00+00:00,2024-01-07 22:30:00+00:00,8913.0,17.5,-1856.0,1856.0
2024-01-08 16:30:00+00:00,2024-01-08,WIND,10783,2024-01-08 04:30:00+00:00,,,,,
2024-01-08 17:00:00+00:00,2024-01-08,WIND,10919,2024-01-08 05:00:00+00:00,2024-01-07 22:30:00+00:00,9307.0,18.5,-1612.0,1612.0
2024-01-08 17:30:00+00:00,2024-01-08,WIND,11535,2024-01-08 05:30:00+00:00,,,,,
2024-01-08 18:00:00+00:00,2024-01-08,WIND,11362,2024-01-08 06:00:00+00:00,2024-01-07 22:30:00+00:00,9573.0,19.5,-1789.0,1789.0
2024-01-08 18:30:00+00:00,2024-01-08,WIND,11439,2024-01-08 06:30:00+00:00,,,,,
2024-01-08 19:00:00+00:00,2024-01-08,WIND,11412,2024-01-08 07:00:00+00:00,2024-01-07 22:30:00+00:00,9627.0,20.5,-1785.0,1785.0
2024-01-08 19:30:00+00:00,2024-01-08,WIND,11371,2024-01-08 07:30:00+00:00,,,,,
2024-01-08 20:00:00+00:00,2024-01-08,WIND,11536,2024-01-08 08:00:00+00:00,2024-01-07 22:30:00+00:00,9492.0,21.5,-2044.0,2044.0
2024-01-08 20:30:00+00:00,2024-01-08,WIND,11592,2024-01-08 08:30:00+00:00,,,,,
2024-01-08 21:00:00+00:00,2024-01-08,WIND,11660,2024-01-08 09:00:00+00:00,2024-01-08 07:30:00+00:00,9528.0,13.5,-2132.0,2132.0
2024-01-08 21:30:00+00:00,2024-01-08,WIND,11738,2024-01-08 09:30:00+00:00,,,,,
2024-01-08 22:00:00+00:00,2024-01-08,WIND,11616,2024-01-08 10:00:00+00:00,2024-01-08 09:30:00+00:00,9366.0,12.5,-2250.0,2250.0
