publishTime,startTime,generation,horizon_hours
2024-01-01 22:30:00+00:00,2024-01-02 06:00:00+00:00,14048,7.5
2024-01-01 02:30:00+00:00,2024-01-02 07:00:00+00:00,14028,28.5
2024-01-01 04:30:00+00:00,2024-01-02 07:00:00+00:00,14022,26.5
2024-01-01 07:30:00+00:00,2024-01-02 07:00:00+00:00,14011,23.5
2024-01-01 09:30:00+00:00,2024-01-02 07:00:00+00:00,14009,21.5
2024-01-01 11:30:00+00:00,2024-01-02 07:00:00+00:00,14011,19.5
2024-01-01 15:30:00+00:00,2024-01-02 07:00:00+00:00,14108,15.5
2024-01-01 18:30:00+00:00,2024-01-02 07:00:00+00:00,13496,12.5
2024-01-01 22:30:00+00:00,2024-01-02 07:00:00+00:00,13492,8.5
2024-01-01 02:30:00+00:00,2024-01-02 08:00:00+00:00,13841,29.5
2024-01-01 04:30:00+00:00,2024-01-02 08:00:00+00:00,13837,27.5
2024-01-01 07:30:00+00:00,2024-01-02 08:00:00+00:00,13678,24.5
2024-01-01 09:30:00+00:00,2024-01-02 08:00:00+00:00,13675,22.5
2024-01-01 11:30:00+00:00,2024-01-02 08:00:00+00:00,13671,20.5
2024-01-01 15:30:00+00:00,2024-01-02 08:00:00+00:00,13665,16.5
2024-01-01 18:30:00+00:00,2024-01-02 08:00:00+00:00,12945,13.5
2024-01-01 22:30:00+00:00,2024-01-02 08:00:00+00:00,12938,9.5
2024-01-01 02:30:00+00:00,2024-01-02 09:00:00+00:00,13609,30.5
2024-01-01 04:30:00+00:00,2024-01-02 09:00:00+00:00,13610,28.5
2024-01-01 07:30:00+00:00,2024-01-02 09:00:00+00:00,13194,25.5
2024-01-01 09:30:00+00:00,2024-01-02 09:00:00+00:00,13189,23.5
2024-01-01 11:30:00+00:00,2024-01-02 09:00:00+00:00,13181,21.5
2024-01-01 15:30:00+00:00,2024-01-02 09:00:00+00:00,13157,17.5
2024-01-01 18:30:00+00:00,2024-01-02 09:00:00+00:00,12382,14.5
2024-01-01 22:30:00+00:00,2024-01-02 09:00:00+00:00,12378,10.5
2024-01-01 02:30:00+00:00,2024-01-02 10:00:00+00:00,12908,31.5
2024-01-01 04:30:00+00:00,2024-01-02 10:00:00+00:00,12904,29.5
